source,query,content,channel,video_id,url,views,clean_text,mention_atomberg,mention_crompton,mention_havells,mention_usha,mention_orient,mention_panasonic,mention_bajaj,sentiment
youtube,atomberg,AMAZON Playbook That Made Atomberg a ₹3000 Crore Giant | Ft. Arindam Paul,Think School Hindi by Zero1,8qrjRwGOrLg,https://www.youtube.com/watch?v=8qrjRwGOrLg,"50,119 views",amazon playbook that made atomberg a  3000 crore giant   ft  arindam paul,1,0,0,0,0,0,0,0.1779
youtube,atomberg,Atomberg TVC I Power Department comes knocking,Atomberg Technologies,4zy-Z_6j6KE,https://www.youtube.com/watch?v=4zy-Z_6j6KE,"26,058,382 views",atomberg tvc i power department comes knocking,1,0,0,0,0,0,0,0.0
youtube,atomberg,🤩Best mixie நம்ம ஊரு சமையலுக்கு | Atomberg Mixer Grinder Review in Tamil,Technical Chennai,MXXNsvkqlXs,https://www.youtube.com/watch?v=MXXNsvkqlXs,"83,081 views",best mixie நம ம ஊர  சம யல க க    atomberg mixer grinder review in tamil,1,0,0,0,0,0,0,0.6369
youtube,atomberg,"How Atomberg is DISRUPTING India’s ₹10,000 Crore Fan Industry | Business Case Study",GrowthX,Xl0LpsG4LMk,https://www.youtube.com/watch?v=Xl0LpsG4LMk,"46,151 views",how atomberg is disrupting india s  10 000 crore fan industry   business case study,1,0,0,0,0,0,0,0.3182
youtube,atomberg,"Atomberg Mixer Grinder: Compact, secure, and powerful",The Grapevine,vxgKCLvodP4,https://www.youtube.com/watch?v=vxgKCLvodP4,"56,088 views",atomberg mixer grinder  compact  secure  and powerful,1,0,0,0,0,0,0,0.6369
youtube,atomberg,Atomberg Intellon | India's 1st Adaptive Water Purifier,Atomberg Technologies,7IhkIsvBbcM,https://www.youtube.com/watch?v=7IhkIsvBbcM,"9,376 views",atomberg intellon   india s 1st adaptive water purifier,1,0,0,0,0,0,0,0.0
youtube,atomberg,Best Water Purifier 2025 | UNCOMFORTABLE TRUTH | Water Purifier For Home,Vineet Malhotra,tjWP3uf2_0o,https://www.youtube.com/watch?v=tjWP3uf2_0o,"16,918 views",best water purifier 2025   uncomfortable truth   water purifier for home,0,0,0,0,0,0,0,0.5994
youtube,atomberg,Atomberg Efficio Water Durability Test | DIWALI SPECIAL,Electro Demolish,xsi2KsDQoIw,https://www.youtube.com/watch?v=xsi2KsDQoIw,"1,088,377 views",atomberg efficio water durability test   diwali special,1,0,0,0,0,0,0,0.4019
youtube,atomberg,Atomberg bldc fan installation / bldc ceiling fan installation / atomberg ceiling fan fitting #home,Anand Tech solutions,_B_G_H5YpxM,https://www.youtube.com/watch?v=_B_G_H5YpxM,"2,649,637 views",atomberg bldc fan installation   bldc ceiling fan installation   atomberg ceiling fan fitting  home,1,0,0,0,0,0,0,0.7096
youtube,atomberg,Atomberg Intellon Water Purifier Review Tamil | Best Smart Adaptive RO 2025 !,Techie Feed Tamil,EN1u_CN4jco,https://www.youtube.com/watch?v=EN1u_CN4jco,"16,743 views",atomberg intellon water purifier review tamil   best smart adaptive ro 2025,1,0,0,0,0,0,0,0.7845
