source,query,content,channel,video_id,url,views,clean_text,mention_atomberg,mention_crompton,mention_havells,mention_usha,mention_orient,mention_panasonic,mention_bajaj,sentiment
youtube,bldc+fan,BLDC fan unit consumption for 24 hours..,Engineering Facts,TES_KUo50Bo,https://www.youtube.com/watch?v=TES_KUo50Bo,"3,815,269 views",bldc fan unit consumption for 24 hours,0,0,0,0,0,0,0,0.3182
youtube,bldc+fan,BLDC வாங்குறது worth-ஆ?,Buying Facts,3UjLYCW8UM4,https://www.youtube.com/watch?v=3UjLYCW8UM4,"2,133,355 views",bldc வ ங க றத  worth ஆ,0,0,0,0,0,0,0,0.2263
youtube,bldc+fan,Best Ceiling Fans 2025 | BLDC Fans,The Grapevine,NDKD-B_i3mg,https://www.youtube.com/watch?v=NDKD-B_i3mg,"245,165 views",best ceiling fans 2025   bldc fans,0,0,0,0,0,0,0,0.6369
youtube,bldc+fan,🌀 Best BLDC Ceiling Fan in India 2024 | Atomberg vs Havells vs Crompton vs Orient - Top Picks!,Brand Investigation,rX7lkKdowbU,https://www.youtube.com/watch?v=rX7lkKdowbU,"306,048 views",best bldc ceiling fan in india 2024   atomberg vs havells vs crompton vs orient   top picks,1,1,1,0,1,0,0,0.8074
youtube,bldc+fan,From now on Havells is the only one 😍 - Best BLDC fan for Home | Havells epic signia BLDC+ ceilin...,Independent scientist,oAijlH6RNOY,https://www.youtube.com/watch?v=oAijlH6RNOY,"727,133 views",from now on havells is the only one     best bldc fan for home   havells epic signia bldc  ceilin,0,0,1,0,0,0,0,0.7579
youtube,bldc+fan,✨ Best bldc fan 2025 tamil | best bldc fan tamil | best bldc fan review in tamil,Tech Applause,x56X0D46C1E,https://www.youtube.com/watch?v=x56X0D46C1E,"10,439 views",best bldc fan 2025 tamil   best bldc fan tamil   best bldc fan review in tamil,0,0,0,0,0,0,0,0.9612
youtube,bldc+fan,Super Bldc fan unboxing #bldcceilingfan #trending #atomberg #superfan,Nila Arunkumar,prqNut4APy0,https://www.youtube.com/watch?v=prqNut4APy0,"125,990 views",super bldc fan unboxing  bldcceilingfan  trending  atomberg  superfan,1,0,0,0,0,0,0,0.7351
youtube,bldc+fan,"Normal fan vs BLDC fan, எது சிறந்தது?",Engineering Facts,tyTLoOIiqco,https://www.youtube.com/watch?v=tyTLoOIiqco,"1,319,553 views",normal fan vs bldc fan  எத  ச றந தத,0,0,0,0,0,0,0,0.5574
youtube,bldc+fan,Best BLDC Ceiling Fan in India 2025 | Best BLDC Fan Under 4000,SumitYPF,VIeK7Bq-hnM,https://www.youtube.com/watch?v=VIeK7Bq-hnM,"72,018 views",best bldc ceiling fan in india 2025   best bldc fan under 4000,0,0,0,0,0,0,0,0.9186
youtube,bldc+fan,Havells Inveno Lx bldc ceiling fan running test #bldcfan #shorts,brighthomeshow ,cCRaHwVao-s,https://www.youtube.com/watch?v=cCRaHwVao-s,"133,475 views",havells inveno lx bldc ceiling fan running test  bldcfan  shorts,0,0,1,0,0,0,0,0.3182
