source,query,content,channel,video_id,url,views,clean_text,mention_atomberg,mention_crompton,mention_havells,mention_usha,mention_orient,mention_panasonic,mention_bajaj,sentiment
youtube,energy+efficient+fans,Havells Stealth BLDC Fan | Energy-Efficient Fans | Tamil,Havells India,jk3u8S2ae0U,https://www.youtube.com/watch?v=jk3u8S2ae0U,"1,307,461 views",havells stealth bldc fan   energy efficient fans   tamil,0,0,1,0,0,0,0,0.7096
youtube,energy+efficient+fans,Ever heard of energy-efficient fans?,Mongabay India,qKhdE7WmU4s,https://www.youtube.com/watch?v=qKhdE7WmU4s,476 views,ever heard of energy efficient fans,0,0,0,0,0,0,0,0.5994
youtube,energy+efficient+fans,BLDC Fans Explained! – The Future of Energy-Efficient Cooling! 🌬️#bldcfan #bldc #energysaving,Mr. SMART Engineering,4Oj4m7hwEDg,https://www.youtube.com/watch?v=4Oj4m7hwEDg,"1,138 views",bldc fans explained    the future of energy efficient cooling     bldcfan  bldc  energysaving,0,0,0,0,0,0,0,0.5994
youtube,energy+efficient+fans,The 5 Best Energy Efficient Fans of 2021,The Right Choice,bEfDyygmKDQ,https://www.youtube.com/watch?v=bEfDyygmKDQ,"1,193 views",the 5 best energy efficient fans of 2021,0,0,0,0,0,0,0,0.8442
youtube,energy+efficient+fans,Kineto Storm Fans | Energy Efficient Fans | Kineto India,Kineto India,cYDEM_cppsE,https://www.youtube.com/watch?v=cYDEM_cppsE,656 views,kineto storm fans   energy efficient fans   kineto india,0,0,0,0,0,0,0,0.5994
youtube,energy+efficient+fans,"Stylish & Energy Efficient Fans | RR, Bajaj, Surya, Havells, Blu | Minimum Rates",Neeraj Lalwani,Xi4X4yWxnbM,https://www.youtube.com/watch?v=Xi4X4yWxnbM,69 views,stylish   energy efficient fans   rr  bajaj  surya  havells  blu   minimum rates,0,0,1,0,0,0,1,0.5994
youtube,energy+efficient+fans,Most Energy efficient fans Ever from V Guard (Enviro 32) ( Consume less Then 33 Watt of Power),Next Gen Power,_GdgIVT2UFw,https://www.youtube.com/watch?v=_GdgIVT2UFw,"1,508 views",most energy efficient fans ever from v guard  enviro 32    consume less then 33 watt of power,0,0,0,0,0,0,0,0.6674
youtube,energy+efficient+fans,Ceiling Fans Energy Efficiency,CityofBanning,9ZHQwcaKAWA,https://www.youtube.com/watch?v=9ZHQwcaKAWA,231 views,ceiling fans energy efficiency,0,0,0,0,0,0,0,0.5574
youtube,energy+efficient+fans,Energy Efficient Fans in India | Save On Your Electricity Bills,Hawa Fans,FDM90ik9OUo,https://www.youtube.com/watch?v=FDM90ik9OUo,19 views,energy efficient fans in india   save on your electricity bills,0,0,0,0,0,0,0,0.7964
youtube,energy+efficient+fans,Ceiling Fan Buying Guide - Step 3 Energy Efficiency – Why BLDC Fans Save More,Superfan Ceiling Fan,QMeV9THxGEo,https://www.youtube.com/watch?v=QMeV9THxGEo,"2,366 views",ceiling fan buying guide   step 3 energy efficiency   why bldc fans save more,0,0,0,0,0,0,0,0.8442
youtube,energy+efficient+fans,This Fan Saves More Energy ⚡ | Superfan Super X1 #Shorts #EnergySaver,Superfan Ceiling Fan,NOOnVYNBa6g,https://www.youtube.com/watch?v=NOOnVYNBa6g,"7,433 views",this fan saves more energy     superfan super x1  shorts  energysaver,0,0,0,0,0,0,0,0.8341
youtube,energy+efficient+fans,Atomberg Energy Efficient Ceiling Fans  by Atomberg Technologies,Atomberg Technologies,zHwskx6QiBM,https://www.youtube.com/watch?v=zHwskx6QiBM,"1,052,992 views",atomberg energy efficient ceiling fans  by atomberg technologies,1,0,0,0,0,0,0,0.5994
youtube,energy+efficient+fans,Advanced Whole House Fan - The Most Energy-Efficient Appliance On The Market,The Whole House Fan Co.,nH1Llpnj-uI,https://www.youtube.com/watch?v=nH1Llpnj-uI,"3,901 views",advanced whole house fan   the most energy efficient appliance on the market,0,0,0,0,0,0,0,0.8304
youtube,energy+efficient+fans,India's Most Energy Efficient Fan by Superfan | BLDC Fans | Econaur,Econaur,ur6Y4ygQIa0,https://www.youtube.com/watch?v=ur6Y4ygQIa0,49 views,india s most energy efficient fan by superfan   bldc fans   econaur,0,0,0,0,0,0,0,0.7926
youtube,energy+efficient+fans,Stay cool & save 70% with our energy-efficient fans! #IndusHomeAppliances#ceilingfans,INDUS Home Appliances ,HIOZ33xox6U,https://www.youtube.com/watch?v=HIOZ33xox6U,"1,085 views",stay cool   save 70  with our energy efficient fans   indushomeappliances ceilingfans,0,0,0,0,0,0,0,0.8555
youtube,energy+efficient+fans,Energy Efficient Fan & Motor Solutions,Epec Engineered Technologies,JWEfxdGLplw,https://www.youtube.com/watch?v=JWEfxdGLplw,309 views,energy efficient fan   motor solutions,0,0,0,0,0,0,0,0.7845
youtube,energy+efficient+fans,"Multifan energy efficient fans - The difference between standard, ECplus and Vplus fans explained!",Vostermans Companies,jg8f9ysmZEY,https://www.youtube.com/watch?v=jg8f9ysmZEY,"2,573 views",multifan energy efficient fans   the difference between standard  ecplus and vplus fans explained,0,0,0,0,0,0,0,0.5994
