source,query,content,channel,video_id,url,views,clean_text,mention_atomberg,mention_crompton,mention_havells,mention_usha,mention_orient,mention_panasonic,mention_bajaj,sentiment
youtube,fans,Jabra Fan Song | Shah Rukh Khan | Nakash Aziz | Vishal and Shekhar | Varun Grover | SRK Fan Song,YRF,d4_szl5EEww,https://www.youtube.com/watch?v=d4_szl5EEww,"274,371,739 views",jabra fan song   shah rukh khan   nakash aziz   vishal and shekhar   varun grover   srk fan song,0,0,0,0,0,0,0,0.5574
youtube,fans,5 Satisfying Amazing Hand Fan To PowerFull Electric Fans Collection,Technical A2z,UgD3Ure8pVM,https://www.youtube.com/watch?v=UgD3Ure8pVM,"1,585,492 views",5 satisfying amazing hand fan to powerfull electric fans collection,0,0,0,0,0,0,0,0.9062
youtube,fans,"REALLY AWESOME FAN SOUND FOR SLEEP | White Noise For Superb Slumber, Studying & Relaxation",Relaxing White Noise,C5Gm8UvxKlU,https://www.youtube.com/watch?v=C5Gm8UvxKlU,"109,822,055 views",really awesome fan sound for sleep   white noise for superb slumber  studying   relaxation,0,0,0,0,0,0,0,0.9379
youtube,fans,HIGH SPEED FAN 🥵🤗 #shorts #highspeed #speedfan #fan #industryfan #undustrialfan,Super Deluxe Channel,kU3y425Cnls,https://www.youtube.com/watch?v=kU3y425Cnls,"427,967 views",high speed fan     shorts  highspeed  speedfan  fan  industryfan  undustrialfan,0,0,0,0,0,0,0,0.5574
youtube,fans,"8hrs Oscillating Fan ""Sleep Sounds"" ASMR",TexasHighDef,leBvfkhicAM,https://www.youtube.com/watch?v=leBvfkhicAM,"5,550,699 views",8hrs oscillating fan  sleep sounds  asmr,0,0,0,0,0,0,0,0.3182
youtube,fans,"► Box Fan (High Speed) and Rain Sounds for Sleeping with Distant Thunder, 10 hours Fan White Noise",SleepDroid Studios Sleep Sounds,as7kf-LTVaE,https://www.youtube.com/watch?v=as7kf-LTVaE,"8,542,561 views",box fan  high speed  and rain sounds for sleeping with distant thunder  10 hours fan white noise,0,0,0,0,0,0,0,0.5574
youtube,fans,Mini Kipas Angin Spinning 5 #kipasangin  #theshuklasisters #fans #trending #popular #viral,Fan 1,gNQKv54Nng0,https://www.youtube.com/watch?v=gNQKv54Nng0,"423,611 views",mini kipas angin spinning 5  kipasangin   theshuklasisters  fans  trending  popular  viral,0,0,0,0,0,0,0,0.4215
youtube,fans,Your Noisy Extractor Fan Is Failing You – Fix It Now!,eFIXX,LUEKuJsHUaU,https://www.youtube.com/watch?v=LUEKuJsHUaU,"5,612,481 views",your noisy extractor fan is failing you   fix it now,0,0,0,0,0,0,0,-0.4019
youtube,fans,Home Depot ceiling fan compilation #funny #ceilingfan,Kids Whole Earth Shorts TV™ - Official YouTube,abFGDJWoUkU,https://www.youtube.com/watch?v=abFGDJWoUkU,"788,891 views",home depot ceiling fan compilation  funny  ceilingfan,0,0,0,0,0,0,0,0.6369
youtube,fans,Pedestal fans and table fans #shorts #fans #fanvideo,Fan Parakki,gytpRYiJ-yc,https://www.youtube.com/watch?v=gytpRYiJ-yc,"3,278,399 views",pedestal fans and table fans  shorts  fans  fanvideo,0,0,0,0,0,0,0,0.0
youtube,fans,Mini Quạt Trần Quay #ceilingfan #kipasangin #fans #trending #sahabat,Fan 1,i6zTR3WRfdc,https://www.youtube.com/watch?v=i6zTR3WRfdc,"566,576 views",mini quạt trần quay  ceilingfan  kipasangin  fans  trending  sahabat,0,0,0,0,0,0,0,0.0
youtube,fans,Hugger Rainbow Ceiling Fan Test #ceilingfan #fan #viral #fypシ,HPad,T3jfLILR1Ww,https://www.youtube.com/watch?v=T3jfLILR1Ww,"958,459 views",hugger rainbow ceiling fan test  ceilingfan  fan  viral  fypシ,0,0,0,0,0,0,0,0.7351
youtube,fans,"India’s First BLDC Fan SuperFan | Energy Efficient, Durable & Proudly Indian 🇮🇳 – Buy SuperFan! #fyp",Electro Demolish,nXMqjajagEE,https://www.youtube.com/watch?v=nXMqjajagEE,"1,868,829 views",india s first bldc fan superfan   energy efficient  durable   proudly indian      buy superfan   fyp,0,0,0,0,0,0,0,0.8689
youtube,fans,Havells Designer Ceiling Fan with Remote #youtubeshorts #shorts,Sweety Sharma ,43YDFdrt7WA,https://www.youtube.com/watch?v=43YDFdrt7WA,"6,584,941 views",havells designer ceiling fan with remote  youtubeshorts  shorts,0,0,1,0,0,0,0,0.3182
youtube,fans,Large Great Room Ceiling Fan,Village Home Stores,S5aM8BEfbSk,https://www.youtube.com/watch?v=S5aM8BEfbSk,"906,824 views",large great room ceiling fan,0,0,0,0,0,0,0,0.7506
youtube,fans,best 💯High speed ceiling fan Crompton #shorts #fan #trending,brighthomeshow ,fPwa-ISsANg,https://www.youtube.com/watch?v=fPwa-ISsANg,"535,121 views",best  high speed ceiling fan crompton  shorts  fan  trending,0,1,0,0,0,0,0,0.8316
