source,query,content,channel,video_id,url,views,clean_text,mention_atomberg,mention_crompton,mention_havells,mention_usha,mention_orient,mention_panasonic,mention_bajaj,sentiment
youtube,smart+fans,Make Your Ceiling Fans Smart: The Ultimate Guide!,Shane Whatley,PG05pZ6S8w0,https://www.youtube.com/watch?v=PG05pZ6S8w0,"87,210 views",make your ceiling fans smart  the ultimate guide,0,0,0,0,0,0,0,0.4019
youtube,smart+fans,13 Amazon Gadgets Smart Homeowners Swear By,Gadget Evolution,25yl1fvHMTY,https://www.youtube.com/watch?v=25yl1fvHMTY,"1,350 views",13 amazon gadgets smart homeowners swear by,0,0,0,0,0,0,0,0.4939
youtube,smart+fans,SMART FAN OPTIONS TO BREEZE INTO THE FUTURE,The Brad Lloyd,sCtdJJ1c1s0,https://www.youtube.com/watch?v=sCtdJJ1c1s0,"21,666 views",smart fan options to breeze into the future,0,0,0,0,0,0,0,0.6124
youtube,smart+fans,HunterSMART™ Smart Ceiling Fans by Hunter Fan Company #home #ceilingfan #diy #smarthome,Hunter Fan Company,98VoOrj_z1A,https://www.youtube.com/watch?v=98VoOrj_z1A,904 views,huntersmart  smart ceiling fans by hunter fan company  home  ceilingfan  diy  smarthome,0,0,0,0,0,0,0,0.6124
youtube,smart+fans,Best Ceiling Fans 2025 | BLDC Fans,The Grapevine,NDKD-B_i3mg,https://www.youtube.com/watch?v=NDKD-B_i3mg,"245,165 views",best ceiling fans 2025   bldc fans,0,0,0,0,0,0,0,0.6369
youtube,smart+fans,8 Blades BLDC Fan | Kühl Platin D8 Review 😊,Sumit Jaiswal - PRONIX,3tfd_RVWtFE,https://www.youtube.com/watch?v=3tfd_RVWtFE,"735,032 views",8 blades bldc fan   kühl platin d8 review,0,0,0,0,0,0,0,-0.4404
youtube,smart+fans,LG Smart Ceiling Fans - Convenience at Its Best,LG India,B2EbLgiL2m4,https://www.youtube.com/watch?v=B2EbLgiL2m4,"2,720,379 views",lg smart ceiling fans   convenience at its best,0,0,0,0,0,0,0,0.7845
youtube,smart+fans,"2025's Best Value Smart Ceiling Fans! - Lumary C1 & 52"" Fan Review & Test (RGBAI Lighting & Quiet)",TechMagnet,e0nhMMDGNPA,https://www.youtube.com/watch?v=e0nhMMDGNPA,"26,503 views",2025 s best value smart ceiling fans    lumary c1   52  fan review   test  rgbai lighting   quiet,0,0,0,0,0,0,0,0.891
youtube,smart+fans,The All New BLDC Atomberg Smart Studio Plus Fan with Alexa Voice Control 🔥,Tech Singh,0Zgovj4RXsQ,https://www.youtube.com/watch?v=0Zgovj4RXsQ,"28,666 views",the all new bldc atomberg smart studio plus fan with alexa voice control,1,0,0,0,0,0,0,0.6124
youtube,smart+fans,Is the #1 Best-Selling Amazon Fan Worth It? Dreo 508s vs 513s vs 512 Review,The French Glow,r274qMfUG4U,https://www.youtube.com/watch?v=r274qMfUG4U,"11,450 views",is the  1 best selling amazon fan worth it  dreo 508s vs 513s vs 512 review,0,0,0,0,0,0,0,0.8442
youtube,smart+fans,Atomberg Smart Ceiling Fans: Best rated Indian fan across all online platforms,Atomberg Technologies,BvdHVE_wOXs,https://www.youtube.com/watch?v=BvdHVE_wOXs,"51,204 views",atomberg smart ceiling fans  best rated indian fan across all online platforms,1,0,0,0,0,0,0,0.8481
youtube,smart+fans,Atomberg Studio Nexus 1200mm BLDC Ceiling Fan with & Remote Control 5-star New Blade Design #sorts,Aj lights,RP3lTwigRb0,https://www.youtube.com/watch?v=RP3lTwigRb0,"5,145 views",atomberg studio nexus 1200mm bldc ceiling fan with   remote control 5 star new blade design  sorts,1,0,0,0,0,0,0,0.3182
youtube,smart+fans,The 3 Best Ceiling Fans to Buy in 2025,Gadget Hub,072gmQvmzY0,https://www.youtube.com/watch?v=072gmQvmzY0,"2,554 views",the 3 best ceiling fans to buy in 2025,0,0,0,0,0,0,0,0.6369
youtube,smart+fans,I Can't Live Without These Now - Dreo Smart Fans,Automate Your Life,h3XewbmZ_0I,https://www.youtube.com/watch?v=h3XewbmZ_0I,"132,661 views",i can t live without these now   dreo smart fans,0,0,0,0,0,0,0,0.4019
youtube,smart+fans,Unleash the Turbowind power with TurboPoly™ Fan 508S! #dreo #smartphone #homecomfort #tech,DREO,fOPTEScGGHI,https://www.youtube.com/watch?v=fOPTEScGGHI,"34,431 views",unleash the turbowind power with turbopoly  fan 508s   dreo  smartphone  homecomfort  tech,0,0,0,0,0,0,0,0.3182
youtube,smart+fans,Modern Ceiling Fan | Bladeless ceiling fan SMART CEILLING FAN with light #viralshort #ceilingfan,Smart Home ,3wkfkBYNnzU,https://www.youtube.com/watch?v=3wkfkBYNnzU,"375,958 views",modern ceiling fan   bladeless ceiling fan smart ceilling fan with light  viralshort  ceilingfan,0,0,0,0,0,0,0,0.8225
youtube,smart+fans,Dreo CLF712S 52” Smart Ceiling Fan | Review,TheSuperFanMan,per3z_V5GWQ,https://www.youtube.com/watch?v=per3z_V5GWQ,"7,938 views",dreo clf712s 52  smart ceiling fan   review,0,0,0,0,0,0,0,0.6124
youtube,smart+fans,Best Ceiling Fan in India 2023 I  Most Silent BLDC Fan I Crompton  SilentPro Blossom Smart Review,Cyber Tamizha - சைபர் தமிழா,UjqyLvhANcQ,https://www.youtube.com/watch?v=UjqyLvhANcQ,"182,387 views",best ceiling fan in india 2023 i  most silent bldc fan i crompton  silentpro blossom smart review,0,1,0,0,0,0,0,0.8948
youtube,smart+fans,5 Best Smart Ceiling Fans 2025 | Best Ceiling Fans 2025,TechTrends,2Y4kaHRWjUE,https://www.youtube.com/watch?v=2Y4kaHRWjUE,"18,692 views",5 best smart ceiling fans 2025   best ceiling fans 2025,0,0,0,0,0,0,0,0.9022
