source,query,content,channel,video_id,url,views,clean_text,mention_atomberg,mention_crompton,mention_havells,mention_usha,mention_orient,mention_panasonic,mention_bajaj,sentiment
youtube,smart+fan,Vera Level Fan😍! - Best Fan for your house! - Havells Signia BLDC Fan Review!,Geekytamizha,bKDxVC7uzzE,https://www.youtube.com/watch?v=bKDxVC7uzzE,"102,949 views",vera level fan     best fan for your house    havells signia bldc fan review,0,0,1,0,0,0,0,0.8779
youtube,smart+fan,Ok Google - Atomberg Renesa Smart+ BLDC Ceiling fan | Alexa + Remote 🫶,Siva Bharani Udaya Selvan,X2Y8LZcbmEY,https://www.youtube.com/watch?v=X2Y8LZcbmEY,"95,997 views",ok google   atomberg renesa smart  bldc ceiling fan   alexa   remote,1,0,0,0,0,0,0,0.7351
youtube,smart+fan,Best BLDC Smart Fan in 2024: Atomberg Renesa Smart+ || Review,Five tag,Lg_umUVvRzg,https://www.youtube.com/watch?v=Lg_umUVvRzg,"45,987 views",best bldc smart fan in 2024  atomberg renesa smart     review,1,0,0,0,0,0,0,0.8979
youtube,smart+fan,Atomberg Renesa smart fan #shorts #youtubeshorts #smartgadgets #homeimprovement #amazonfinds,Quirk Art for Home by Stuti,g3uJjG1zxd0,https://www.youtube.com/watch?v=g3uJjG1zxd0,"1,750,273 views",atomberg renesa smart fan  shorts  youtubeshorts  smartgadgets  homeimprovement  amazonfinds,1,0,0,0,0,0,0,0.6124
youtube,smart+fan,LG Smart Ceiling Fans - Convenience at Its Best,LG India,B2EbLgiL2m4,https://www.youtube.com/watch?v=B2EbLgiL2m4,"2,720,379 views",lg smart ceiling fans   convenience at its best,0,0,0,0,0,0,0,0.7845
youtube,smart+fan,Best BLDC Smart Fan in 2024: Atomberg Renesa Smart+ || Alexa + Remote Review,Siva Bharani Udaya Selvan,MxNtTMOVve4,https://www.youtube.com/watch?v=MxNtTMOVve4,"14,402 views",best bldc smart fan in 2024  atomberg renesa smart     alexa   remote review,1,0,0,0,0,0,0,0.8979
youtube,smart+fan,Xiaomi Mi Smart Standing Fan 2 - Is this the best value fan?,UNFILTERD,9hw0-MuoIMc,https://www.youtube.com/watch?v=9hw0-MuoIMc,"15,721 views",xiaomi mi smart standing fan 2   is this the best value fan,0,0,0,0,0,0,0,0.9169
youtube,smart+fan,Atomberg Rensa Plus BLDC Fan #gadgetshorts  #shorts,Utpad Unbox,nVPNjae59-s,https://www.youtube.com/watch?v=nVPNjae59-s,"2,902,197 views",atomberg rensa plus bldc fan  gadgetshorts   shorts,1,0,0,0,0,0,0,0.3182
youtube,smart+fan,Make Your Ceiling Fans Smart: The Ultimate Guide!,Shane Whatley,PG05pZ6S8w0,https://www.youtube.com/watch?v=PG05pZ6S8w0,"87,210 views",make your ceiling fans smart  the ultimate guide,0,0,0,0,0,0,0,0.4019
youtube,smart+fan,Best Ceiling Fans 2025 | BLDC Fans,The Grapevine,NDKD-B_i3mg,https://www.youtube.com/watch?v=NDKD-B_i3mg,"245,086 views",best ceiling fans 2025   bldc fans,0,0,0,0,0,0,0,0.6369
youtube,smart+fan,SMART FAN OPTIONS TO BREEZE INTO THE FUTURE,The Brad Lloyd,sCtdJJ1c1s0,https://www.youtube.com/watch?v=sCtdJJ1c1s0,"21,666 views",smart fan options to breeze into the future,0,0,0,0,0,0,0,0.6124
youtube,smart+fan,Ceiling fan 😩 atomberg studio smart plus fan #fan #fansound #shorts #shortsvideo #viralvideo,Utpad Unbox,auGsGYXFisg,https://www.youtube.com/watch?v=auGsGYXFisg,"1,366,002 views",ceiling fan   atomberg studio smart plus fan  fan  fansound  shorts  shortsvideo  viralvideo,1,0,0,0,0,0,0,0.8225
youtube,smart+fan,Is the #1 Best-Selling Amazon Fan Worth It? Dreo 508s vs 513s vs 512 Review,The French Glow,r274qMfUG4U,https://www.youtube.com/watch?v=r274qMfUG4U,"11,450 views",is the  1 best selling amazon fan worth it  dreo 508s vs 513s vs 512 review,0,0,0,0,0,0,0,0.8442
youtube,smart+fan,Smart Register | Howeall Super Quiet Register Booster Fan,Skinner's 100% Honest Reviews,oh5ag0PXEds,https://www.youtube.com/watch?v=oh5ag0PXEds,"30,730 views",smart register   howeall super quiet register booster fan,0,0,0,0,0,0,0,0.836
youtube,smart+fan,5 Best Smart Ceiling Fans 2025 | Best Ceiling Fans 2025,TechTrends,2Y4kaHRWjUE,https://www.youtube.com/watch?v=2Y4kaHRWjUE,"18,692 views",5 best smart ceiling fans 2025   best ceiling fans 2025,0,0,0,0,0,0,0,0.9022
youtube,smart+fan,Atomberg renesa smart plus 1200 mm ceiling fan pearl white unboxing #atomberg #atombergfan #renesa,Gtfuturetechnology,eUqNCj2T55I,https://www.youtube.com/watch?v=eUqNCj2T55I,"609,196 views",atomberg renesa smart plus 1200 mm ceiling fan pearl white unboxing  atomberg  atombergfan  renesa,1,0,0,0,0,0,0,0.6124
youtube,smart+fan,Best BLDC Smart Fan to Buy in India 2025 | Atomberg Aris Contour Unboxing & Review,Vimal Chintapatla,tlVWVyVP9Lg,https://www.youtube.com/watch?v=tlVWVyVP9Lg,"72,484 views",best bldc smart fan to buy in india 2025   atomberg aris contour unboxing   review,1,0,0,0,0,0,0,0.8481
youtube,smart+fan,Installing my new Smart Fan | Atomberg Renesa Smart +,Tech Features Life,QGFYUCxOPAs,https://www.youtube.com/watch?v=QGFYUCxOPAs,"659,691 views",installing my new smart fan   atomberg renesa smart,1,0,0,0,0,0,0,0.7717
youtube,smart+fan,I Can't Live Without These Now - Dreo Smart Fans,Automate Your Life,h3XewbmZ_0I,https://www.youtube.com/watch?v=h3XewbmZ_0I,"132,661 views",i can t live without these now   dreo smart fans,0,0,0,0,0,0,0,0.4019
