source,query,title,channel,video_id,url,views
youtube,energy+efficient+fans,Havells Stealth BLDC Fan | Energy-Efficient Fans | Tamil,Havells India,jk3u8S2ae0U,https://www.youtube.com/watch?v=jk3u8S2ae0U,"1,307,461 views"
youtube,energy+efficient+fans,Ever heard of energy-efficient fans?,Mongabay India,qKhdE7WmU4s,https://www.youtube.com/watch?v=qKhdE7WmU4s,476 views
youtube,energy+efficient+fans,BLDC Fans Explained! – The Future of Energy-Efficient Cooling! 🌬️#bldcfan #bldc #energysaving,Mr. SMART Engineering,4Oj4m7hwEDg,https://www.youtube.com/watch?v=4Oj4m7hwEDg,"1,138 views"
youtube,energy+efficient+fans,The 5 Best Energy Efficient Fans of 2021,The Right Choice,bEfDyygmKDQ,https://www.youtube.com/watch?v=bEfDyygmKDQ,"1,193 views"
youtube,energy+efficient+fans,Kineto Storm Fans | Energy Efficient Fans | Kineto India,Kineto India,cYDEM_cppsE,https://www.youtube.com/watch?v=cYDEM_cppsE,656 views
youtube,energy+efficient+fans,"Stylish & Energy Efficient Fans | RR, Bajaj, Surya, Havells, Blu | Minimum Rates",Neeraj Lalwani,Xi4X4yWxnbM,https://www.youtube.com/watch?v=Xi4X4yWxnbM,69 views
youtube,energy+efficient+fans,Most Energy efficient fans Ever from V Guard (Enviro 32) ( Consume less Then 33 Watt of Power),Next Gen Power,_GdgIVT2UFw,https://www.youtube.com/watch?v=_GdgIVT2UFw,"1,508 views"
youtube,energy+efficient+fans,Ceiling Fans Energy Efficiency,CityofBanning,9ZHQwcaKAWA,https://www.youtube.com/watch?v=9ZHQwcaKAWA,231 views
youtube,energy+efficient+fans,Energy Efficient Fans in India | Save On Your Electricity Bills,Hawa Fans,FDM90ik9OUo,https://www.youtube.com/watch?v=FDM90ik9OUo,19 views
youtube,energy+efficient+fans,Ceiling Fan Buying Guide - Step 3 Energy Efficiency – Why BLDC Fans Save More,Superfan Ceiling Fan,QMeV9THxGEo,https://www.youtube.com/watch?v=QMeV9THxGEo,"2,366 views"
youtube,energy+efficient+fans,This Fan Saves More Energy ⚡ | Superfan Super X1 #Shorts #EnergySaver,Superfan Ceiling Fan,NOOnVYNBa6g,https://www.youtube.com/watch?v=NOOnVYNBa6g,"7,433 views"
youtube,energy+efficient+fans,Atomberg Energy Efficient Ceiling Fans  by Atomberg Technologies,Atomberg Technologies,zHwskx6QiBM,https://www.youtube.com/watch?v=zHwskx6QiBM,"1,052,992 views"
youtube,energy+efficient+fans,Advanced Whole House Fan - The Most Energy-Efficient Appliance On The Market,The Whole House Fan Co.,nH1Llpnj-uI,https://www.youtube.com/watch?v=nH1Llpnj-uI,"3,901 views"
youtube,energy+efficient+fans,India's Most Energy Efficient Fan by Superfan | BLDC Fans | Econaur,Econaur,ur6Y4ygQIa0,https://www.youtube.com/watch?v=ur6Y4ygQIa0,49 views
youtube,energy+efficient+fans,Stay cool & save 70% with our energy-efficient fans! #IndusHomeAppliances#ceilingfans,INDUS Home Appliances ,HIOZ33xox6U,https://www.youtube.com/watch?v=HIOZ33xox6U,"1,085 views"
youtube,energy+efficient+fans,Energy Efficient Fan & Motor Solutions,Epec Engineered Technologies,JWEfxdGLplw,https://www.youtube.com/watch?v=JWEfxdGLplw,309 views
youtube,energy+efficient+fans,"Multifan energy efficient fans - The difference between standard, ECplus and Vplus fans explained!",Vostermans Companies,jg8f9ysmZEY,https://www.youtube.com/watch?v=jg8f9ysmZEY,"2,573 views"
youtube,energy+efficient+fans,Efficient Fans Bring Efficient Productivity In Warehouses | MacroAir Fans,MacroAir Technologies Inc.,Go5gKo_O240,https://www.youtube.com/watch?v=Go5gKo_O240,"78,592 views"
youtube,energy+efficient+fans,Do you know how BEE ratings affect your savings? | Designer Energy Efficient Fans by Luminous,Luminous India,8QioV-iRycE,https://www.youtube.com/watch?v=8QioV-iRycE,466 views
youtube,energy+efficient+fans,"HVLS Fans Made in China , Energy-Efficient Cooling for Factories & Warehouses.#industrial #fan #hvls",yifan HVLS fan,lR8aunY3PTw,https://www.youtube.com/watch?v=lR8aunY3PTw,"1,598 views"
